"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1/12/2009","14:08:00",-1.17185392959907,0.312,244.77,5.6,0,0,10
"1/12/2009","14:09:00",0.66985,0.31,245.03,6.4,0,0,11
"1/12/2009","14:10:00",1.584,0.312,245.53,6.6,0,0,11
"1/12/2009","14:11:00",0.7274,0.224,245.96,6,0,0,11
"1/12/2009","14:12:00",0.74165,0,245.92,3.4,0,0,1
"1/12/2009","14:13:00",0.399422854543719,0,246.21,3.4,0,0,0
"1/12/2009","14:14:00",0.858,0,246.72,3.4,0,0,1
"1/12/2009","14:15:00",3.30184125609193,0,246.81,3.8,0,0,1
"1/12/2009","14:16:00",0.8037,0,246.53,3.8,0,0,0
"1/12/2009","14:17:00",0.964,0,246.55,3.8,0,0,1
"1/12/2009","14:18:00",0.978,0,247.37,4,0,0,1
"1/12/2009","14:19:00",1.48039820152413,0,247.64,3.8,0,0,1
"1/12/2009","14:20:00",0.87245,0,247.41,3.8,0,0,0
"1/12/2009","14:21:00",1.05035460652162,0,247.18,3.8,0,0,1
"1/12/2009","14:22:00",0.90635,0,246.67,4,0,0,1
"1/12/2009","14:23:00",0.88,0,245.95,3.6,0,0,0
"1/12/2009","14:24:00",0.9249,0.062,245.46,1.8,0,0,1
"1/12/2009","14:25:00",3.79219343459254,0.056,246.48,1.8,0,0,1
"1/12/2009","14:26:00",0.93345,0.056,246.63,1.8,0,0,0
"1/12/2009","14:27:00",0.456,0.056,247.07,1.8,0,0,1
"1/12/2009","14:28:00",0.94185,0.056,247.33,1.8,0,0,1
"1/12/2009","14:29:00",0.448,0.056,246.79,1.8,0,0,0
"1/12/2009","14:30:00",2.5240134039223,0.058,246.78,1.8,0,0,1
"1/12/2009","14:31:00",0.95255,0.058,247.04,1.8,0,0,1
"1/12/2009","14:32:00",0.45,0.056,247.02,1.8,0,0,0
"1/12/2009","14:33:00",0.187812461290202,0.054,247.45,1.8,0,0,1
"1/12/2009","14:34:00",0.9596,0.056,247.29,1.8,0,0,1
"1/12/2009","14:35:00",2.17043202464471,0,246.78,2,0,0,0
"1/12/2009","14:36:00",0.554,0.082,246.25,2.2,0,0,1
"1/12/2009","14:37:00",0.96665,0.082,246.43,2.2,0,0,1
"1/12/2009","14:38:00",1.89677687287623,0.084,246.81,2.2,0,0,1
"1/12/2009","14:39:00",0.97105,0.084,246.56,2.2,0,0,0
"1/12/2009","14:40:00",0.97355,0.088,247.46,2.2,0,0,1
"1/12/2009","14:41:00",-1.16805589815415,0.086,247.2,2.2,0,0,1
"1/12/2009","14:42:00",2.46979815311159,0.09,246.41,2.4,0,0,0
"1/12/2009","14:43:00",0.97865,0.19,246.13,2.6,0,0,1
"1/12/2009","14:44:00",0.9804,0.194,246.9,2.6,0,0,1
"1/12/2009","14:45:00",0.618,0.192,246.39,2.6,0,0,0
"1/12/2009","14:46:00",0.489011781488482,0.19,246.07,2.6,0,0,1
"1/12/2009","14:47:00",0.62,0.19,245.78,2.6,0,0,1
"1/12/2009","14:48:00",0.62,0.19,245.71,2.6,0,0,0
"1/12/2009","14:49:00",0.94695,0.19,245.82,2.6,0,0,1
"1/12/2009","14:50:00",0.9226,0.192,246.18,2.6,0,0,1
"1/12/2009","14:51:00",4.69283430517861,0.094,246.31,2.2,0,0,0
"1/12/2009","14:52:00",3.01694738554551,0.052,246.91,2,0,0,1
"1/12/2009","14:53:00",1.96683229008315,0.052,247.17,2,0,0,1
"1/12/2009","14:54:00",0.87425,0.052,247.08,2.2,0,0,0
"1/12/2009","14:55:00",0.86325,0.05,245.89,2.2,0,0,1
"1/12/2009","14:56:00",2.21074209466508,0,246.47,2,0,0,1
"1/12/2009","14:57:00",0.444,0.056,246.81,1.8,0,0,0
"1/12/2009","14:58:00",0.8252,0.056,246.38,1.8,0,0,1
"1/12/2009","14:59:00",0.8119,0.056,246.66,1.8,0,0,1
"1/12/2009","15:00:00",-0.955460603545038,0.056,246.78,1.8,0,0,0
"1/12/2009","15:01:00",0.446,0.056,246.37,1.8,0,0,1
"1/12/2009","15:02:00",0.7729,0.056,246.18,1.8,0,0,1
"1/12/2009","15:03:00",0.7622,0.054,246.94,1.8,0,0,1
"1/12/2009","15:04:00",0.500052869883101,0.054,247.18,1.8,0,0,0
"1/12/2009","15:05:00",0.444,0.054,247.33,1.8,0,0,1
"1/12/2009","15:06:00",2.35476793589158,0.054,247.41,1.8,0,0,1
"1/12/2009","15:07:00",0.446,0.054,247.87,1.8,0,0,0
"1/12/2009","15:08:00",5.07567275422966,0,247.21,2.2,0,0,1
"1/12/2009","15:09:00",0.534,0.07,246.21,2.2,0,1,1
"1/12/2009","15:10:00",-2.7252913430106,0.072,246.91,2.2,0,1,0
"1/12/2009","15:11:00",0.532,0.072,247.3,2.2,0,2,1
"1/12/2009","15:12:00",0.528,0.07,246.72,2.2,0,1,1
"1/12/2009","15:13:00",0.77285,0.068,245.91,2.2,0,1,0
"1/12/2009","15:14:00",0.7747,0.07,246.29,2.2,0,2,1
"1/12/2009","15:15:00",2.25384995990865,0.148,246.28,2.6,0,1,1
"1/12/2009","15:16:00",0.644,0.212,246.25,2.8,0,2,0
