"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"29/12/2009","08:47:00",1.66105,0.134,244.7,5.8,0,0,1
"29/12/2009","08:48:00",1.66015,0.13,244.12,6.2,0,0,0
"29/12/2009","08:49:00",1.63,0.258,243.95,6.8,0,0,1
"29/12/2009","08:50:00",1.6668,0.376,244.15,7.2,0,0,1
"29/12/2009","08:51:00",1.67185,0.376,244.18,7.2,0,0,0
"29/12/2009","08:52:00",4.9497309762873,0.374,244.04,7.2,0,0,1
"29/12/2009","08:53:00",1.652,0.378,244.31,7,0,0,1
"29/12/2009","08:54:00",1.6858,0.372,243.5,7,0,0,0
"29/12/2009","08:55:00",1.69095,0.368,242.97,7.2,0,0,1
"29/12/2009","08:56:00",1.688,0.368,242.71,7.2,0,0,1
"29/12/2009","08:57:00",1.678,0.37,242.95,7,0,0,0
"29/12/2009","08:58:00",1.70495,0.374,243.64,7,0,0,1
"29/12/2009","08:59:00",1.658,0.372,243.39,7,0,0,1
"29/12/2009","09:00:00",1.652,0.368,242.4,7,0,0,0
"29/12/2009","09:01:00",1.584,0.37,242.36,6.8,0,0,1
"29/12/2009","09:02:00",1.75235,0.362,239.16,12.4,0,0,1
"29/12/2009","09:03:00",2.56855,0.354,238.49,17,0,0,19
"29/12/2009","09:04:00",3.974,0.256,239.01,16.6,0,0,19
"29/12/2009","09:05:00",1.94695,0.252,238.37,16.4,0,0,18
"29/12/2009","09:06:00",2.0107,0.21,239.1,16.4,0,0,19
"29/12/2009","09:07:00",2.0729,0.122,238.78,16,0,0,18
"29/12/2009","09:08:00",2.1146,0.074,239.04,13.4,0,0,18
"29/12/2009","09:09:00",2.1411,0.116,240.74,10.2,0,0,21
"29/12/2009","09:10:00",3.194,0.286,239.88,13.4,0,0,27
"29/12/2009","09:11:00",2.239,0.284,239.92,14,0,0,28
"29/12/2009","09:12:00",3.354,0.272,239.09,14,0,0,28
"29/12/2009","09:13:00",3.378,0.258,238.88,14.2,0,0,28
"29/12/2009","09:14:00",3.31677236212432,0.236,240.21,13.8,0,0,27
"29/12/2009","09:15:00",4.76040863392757,0.098,241.26,11.6,0,0,18
"29/12/2009","09:16:00",2.43615,0.098,240.85,11.4,0,0,18
"29/12/2009","09:17:00",2.954,0,239.76,12.2,0,0,19
