"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"26/1/2010","03:27:00",0.5733,0,242.48,1,0,0,0
"26/1/2010","03:28:00",0.5733,0,243.81,1,0,0,1
"26/1/2010","03:29:00",0.804028824870955,0,243.99,1,0,0,1
"26/1/2010","03:30:00",0.5732,0,243.55,1,0,0,0
"26/1/2010","03:31:00",0.26,0,243.67,1,0,0,1
"26/1/2010","03:32:00",0.57315,0,243.72,1,0,0,1
"26/1/2010","03:33:00",0.57315,0,244.69,1,0,0,0
"26/1/2010","03:34:00",1.35519438640842,0,244.18,1,0,0,1
"26/1/2010","03:35:00",0.26,0,244.5,1,0,0,1
"26/1/2010","03:36:00",0.57305,0,244.36,1,0,0,0
"26/1/2010","03:37:00",0.57305,0,244.93,1,0,0,1
"26/1/2010","03:38:00",0.53705569674609,0,243.61,1,0,0,1
"26/1/2010","03:39:00",1.12480528819682,0,243.83,1,0,0,0
"26/1/2010","03:40:00",0.5729,0,242.96,1,0,0,1
"26/1/2010","03:41:00",0.57285,0,243.29,1,0,0,1
"26/1/2010","03:42:00",0.256,0,242.37,1,0,0,0
"26/1/2010","03:43:00",1.33393729262922,0,243.84,1,0,0,1
"26/1/2010","03:44:00",0.258,0,243.5,1,0,0,1
"26/1/2010","03:45:00",0.5718,0,244.35,1,0,0,0
"26/1/2010","03:46:00",0.258,0,243.43,1,0,0,1
"26/1/2010","03:47:00",0.56615,0,243.95,1,0,0,1
"26/1/2010","03:48:00",1.14787035799472,0,243.28,1,0,0,0
"26/1/2010","03:49:00",0.917055769251486,0,243.37,1,0,0,1
"26/1/2010","03:50:00",1.58451730302111,0,243.48,1,0,0,1
"26/1/2010","03:51:00",0.26,0,244.36,1,0,0,0
"26/1/2010","03:52:00",0.5441,0,244.77,1,0,0,1
"26/1/2010","03:53:00",0.262,0,245.67,1,0,0,1
"26/1/2010","03:54:00",1.86936394079018,0.2,244.17,2.2,0,0,0
"26/1/2010","03:55:00",0.54105,0.206,243.79,2,0,0,1
"26/1/2010","03:56:00",0.54145,0.206,243.82,2,0,0,1
"26/1/2010","03:57:00",0.442,0.206,243.54,2,0,0,0
"26/1/2010","03:58:00",0.5423,0.208,244.28,2,0,0,1
"26/1/2010","03:59:00",2.31006820493115,0.34,244.51,2.6,0,0,1
"26/1/2010","04:00:00",0.516,0.336,244.37,2.4,0,1,0
"26/1/2010","04:01:00",1.82844356486042,0.33,243.23,2.4,0,1,1
"26/1/2010","04:02:00",0.5588,0.334,243.94,2.4,0,2,1
"26/1/2010","04:03:00",0.56505,0.334,243.75,2.4,0,1,0
"26/1/2010","04:04:00",0.57055,0.29,243.82,2.2,0,2,1
"26/1/2010","04:05:00",0.44,0.228,244.06,2,0,1,1
"26/1/2010","04:06:00",0.442,0.232,244.99,2,0,1,0
"26/1/2010","04:07:00",0.58425,0.228,244.23,2,0,2,1
"26/1/2010","04:08:00",0.438,0.228,244.07,2,0,1,1
"26/1/2010","04:09:00",0.5931,0.224,243.16,2,0,1,0
"26/1/2010","04:10:00",1.21497660926968,0.16,243.3,1.8,0,2,1
"26/1/2010","04:11:00",0.59845,0.086,242.99,1.4,0,1,1
"26/1/2010","04:12:00",0.6005,0.086,243.39,1.4,0,2,0
"26/1/2010","04:13:00",0.342,0.086,243.55,1.4,0,1,1
"26/1/2010","04:14:00",0.6046,0.086,243.41,1.4,0,1,1
"26/1/2010","04:15:00",0.344,0.088,244.31,1.4,0,2,0
"26/1/2010","04:16:00",0.344,0.09,244.54,1.4,0,1,1
"26/1/2010","04:17:00",1.7700948627361,0.09,244.56,1.4,0,1,1
"26/1/2010","04:18:00",0.6129,0.088,244.08,1.4,0,2,0
"26/1/2010","04:19:00",1.15260192385054,0.09,244.96,1.4,0,1,1
"26/1/2010","04:20:00",1.47054823232007,0.088,244.25,1.4,0,1,1
"26/1/2010","04:21:00",0.61905,0.088,244.55,1.4,0,2,0
"26/1/2010","04:22:00",0.6211,0.088,244.54,1.4,0,1,1
"26/1/2010","04:23:00",0.6231,0.092,245.25,1.4,0,1,1
"26/1/2010","04:24:00",1.53093042988176,0.088,244.53,1.4,0,2,0
"26/1/2010","04:25:00",0.336,0.088,244.19,1.4,0,1,1
"26/1/2010","04:26:00",0.334,0.086,243.66,1.4,0,1,1
"26/1/2010","04:27:00",0.334,0.088,243.85,1.4,0,1,0
"26/1/2010","04:28:00",0.334,0.086,243.42,1.4,0,2,1
"26/1/2010","04:29:00",1.55916515059948,0.09,244.9,1.4,0,1,1
"26/1/2010","04:30:00",0.63655,0.09,244.7,1.4,0,1,0
"26/1/2010","04:31:00",1.14416475701465,0.09,245.17,1.4,0,1,1
"26/1/2010","04:32:00",0.64025,0.09,244.89,1.4,0,2,1
"26/1/2010","04:33:00",0.765808785519943,0.09,244.65,1.4,0,1,1
"26/1/2010","04:34:00",0.6386,0.088,244,1.4,0,1,0
"26/1/2010","04:35:00",1.38103975832567,0.09,244.73,1.4,0,1,1
"26/1/2010","04:36:00",0.334,0.092,245.43,1.4,0,1,1
"26/1/2010","04:37:00",1.81144656303217,0.092,245.26,1.4,0,2,0
"26/1/2010","04:38:00",0.334,0.092,245.57,1.4,0,1,1
"26/1/2010","04:39:00",1.57352596725781,0.194,244.95,2,0,1,1
"26/1/2010","04:40:00",0.41,0.2,245.49,1.8,0,1,0
"26/1/2010","04:41:00",1.47817978263913,0.198,244.69,1.8,0,1,1
"26/1/2010","04:42:00",0.436,0.218,244.93,2,0,1,1
"26/1/2010","04:43:00",0.518,0.336,244.36,2.4,0,2,0
"26/1/2010","04:44:00",0.514,0.338,244.98,2.4,0,1,1
"26/1/2010","04:45:00",0.51,0.338,244.76,2.4,0,1,1
"26/1/2010","04:46:00",1.85295723233041,0.34,245.17,2.4,0,1,0
"26/1/2010","04:47:00",0.506,0.336,244.36,2.4,0,1,1
"26/1/2010","04:48:00",1.31324986366244,0.33,243.81,2.4,0,2,1
"26/1/2010","04:49:00",0.62545,0.222,243.13,2,0,1,0
"26/1/2010","04:50:00",2.2298263050504,0.224,243.54,2,0,1,1
"26/1/2010","04:51:00",0.62855,0.224,243.57,2,0,1,1
"26/1/2010","04:52:00",0.6307,0.224,243.47,2,0,1,0
"26/1/2010","04:53:00",0.43,0.23,244.83,2,0,1,1
"26/1/2010","04:54:00",0.43,0.234,245.59,2,0,2,1
"26/1/2010","04:55:00",0.6372,0.234,245.31,2,0,1,0
"26/1/2010","04:56:00",1.00402359692539,0.228,244.19,2,0,1,1
"26/1/2010","04:57:00",1.72491806961439,0.228,244.19,2,0,1,1
"26/1/2010","04:58:00",0.422,0.224,243.21,2,0,1,0
"26/1/2010","04:59:00",0.64345,0.11,244.43,1.4,0,1,1
"26/1/2010","05:00:00",0.6432,0.088,243.85,1.4,0,2,1
"26/1/2010","05:01:00",0.33,0.09,244.55,1.4,0,1,0
"26/1/2010","05:02:00",0.64275,0.088,244.09,1.4,0,1,1
"26/1/2010","05:03:00",0.33,0.09,244.67,1.4,0,1,1
"26/1/2010","05:04:00",0.64225,0.086,243.15,1.4,0,1,0
"26/1/2010","05:05:00",0.6421,0.088,244.39,1.4,0,1,1
"26/1/2010","05:06:00",0.642,0.088,244.12,1.4,0,2,1
"26/1/2010","05:07:00",0.33,0.088,244.44,1.4,0,1,0
"26/1/2010","05:08:00",1.3021004591823,0.088,244.5,1.4,0,1,1
"26/1/2010","05:09:00",0.332,0.09,245.07,1.4,0,1,1
"26/1/2010","05:10:00",0.64155,0.09,244.67,1.4,0,1,0
"26/1/2010","05:11:00",0.33,0.088,244.28,1.4,0,1,1
"26/1/2010","05:12:00",0.332,0.09,245.31,1.4,0,2,1
"26/1/2010","05:13:00",0.64135,0.094,246.63,1.4,0,1,1
"26/1/2010","05:14:00",1.68584708820395,0.092,245.74,1.4,0,1,0
"26/1/2010","05:15:00",0.6413,0.092,245.61,1.4,0,1,1
"26/1/2010","05:16:00",0.6413,0.092,246.16,1.4,0,1,1
"26/1/2010","05:17:00",0.64125,0.09,245.49,1.4,0,1,0
"26/1/2010","05:18:00",0.6412,0.092,245.68,1.4,0,1,1
"26/1/2010","05:19:00",0.423071376553994,0.09,245.18,1.4,0,2,1
"26/1/2010","05:20:00",0.63695,0.092,245.58,1.4,0,1,0
"26/1/2010","05:21:00",0.635,0.09,244.9,1.4,0,1,1
"26/1/2010","05:22:00",0.332,0.092,245.31,1.4,0,1,1
"26/1/2010","05:23:00",0.6277,0.09,245.18,1.4,0,1,0
"26/1/2010","05:24:00",1.25721195870478,0.15,245.75,1.8,0,1,1
"26/1/2010","05:25:00",0.62035,0.074,245.23,1.4,0,0,1
"26/1/2010","05:26:00",0.34,0.074,245.57,1.4,0,0,0
"26/1/2010","05:27:00",2.14084952854177,0.072,244.81,1.4,0,0,1
"26/1/2010","05:28:00",0.338,0.07,244.64,1.4,0,0,1
"26/1/2010","05:29:00",1.94137151054534,0.074,245.54,1.4,0,0,0
"26/1/2010","05:30:00",0.6032,0.074,245.89,1.4,0,0,1
